month,revenue,customers,new_customers,conversion_rate,marketing_spend,leads_generated,deals_closed,avg_deal_size,campaign,product_category,region,churn_rate
2024-01,45200,312,48,3.2,8500,265,15,3013,Winter Sale,Software,North America,2.1
2024-01,38100,287,35,2.8,7200,220,12,3175,Winter Sale,Consulting,Europe,2.4
2024-01,22400,195,28,3.5,4800,142,8,2800,Email Blast,Hardware,Asia Pacific,1.8
2024-02,48900,328,52,3.4,9200,290,17,2876,Valentine Promo,Software,North America,2.0
2024-02,41300,305,41,3.1,7800,245,14,2950,Valentine Promo,Consulting,Europe,2.3
2024-02,25100,210,32,3.7,5200,158,9,2789,Social Media,Hardware,Asia Pacific,1.7
2024-03,52700,345,58,3.6,10500,320,19,2774,Spring Launch,Software,North America,1.9
2024-03,44600,318,45,3.3,8400,268,16,2788,Spring Launch,Consulting,Europe,2.2
2024-03,28300,228,36,3.9,5800,175,11,2573,Content Marketing,Hardware,Asia Pacific,1.6
2024-04,56100,362,63,3.8,11200,345,21,2671,Q2 Push,Software,North America,1.8
2024-04,47200,332,49,3.5,9000,285,18,2622,Q2 Push,Consulting,Europe,2.1
2024-04,31500,245,40,4.1,6200,192,13,2423,Webinar Series,Hardware,Asia Pacific,1.5
2024-05,51800,348,55,3.5,10800,310,18,2878,Trade Show,Software,North America,2.0
2024-05,43900,315,43,3.2,8600,258,15,2927,Trade Show,Consulting,Europe,2.3
2024-05,29700,235,37,3.8,5600,178,12,2475,LinkedIn Ads,Hardware,Asia Pacific,1.6
2024-06,58400,378,68,4.0,12000,365,23,2539,Summer Campaign,Software,North America,1.7
2024-06,49800,342,52,3.6,9500,295,19,2621,Summer Campaign,Consulting,Europe,2.0
2024-06,33200,258,43,4.2,6800,205,14,2371,Referral Program,Hardware,Asia Pacific,1.4
2024-07,54600,358,60,3.7,11500,335,20,2730,Mid-Year Review,Software,North America,1.9
2024-07,46500,325,47,3.4,9200,275,17,2735,Mid-Year Review,Consulting,Europe,2.2
2024-07,31800,248,39,4.0,6400,195,13,2446,Partner Event,Hardware,Asia Pacific,1.5
2024-08,50200,340,53,3.4,10200,298,17,2953,Back to Business,Software,North America,2.1
2024-08,42800,310,42,3.1,8200,250,14,3057,Back to Business,Consulting,Europe,2.4
2024-08,28900,232,35,3.7,5400,170,11,2627,Email Nurture,Hardware,Asia Pacific,1.7
2024-09,61200,392,72,4.2,13000,385,25,2448,Fall Blitz,Software,North America,1.6
2024-09,52100,355,55,3.8,10200,310,21,2481,Fall Blitz,Consulting,Europe,1.9
2024-09,35800,272,46,4.4,7200,218,16,2238,SEO Campaign,Hardware,Asia Pacific,1.3
2024-10,64500,410,78,4.4,13800,405,27,2389,Q4 Kickoff,Software,North America,1.5
2024-10,55200,370,59,4.0,10800,328,23,2400,Q4 Kickoff,Consulting,Europe,1.8
2024-10,38100,285,50,4.6,7600,232,18,2117,PPC Campaign,Hardware,Asia Pacific,1.2
2024-11,68900,435,85,4.6,14500,430,29,2376,Black Friday,Software,North America,1.4
2024-11,58700,388,63,4.2,11500,348,25,2348,Black Friday,Consulting,Europe,1.7
2024-11,41200,298,54,4.8,8200,250,20,2060,Holiday Prep,Hardware,Asia Pacific,1.1
2024-12,72300,458,90,4.8,15200,455,31,2332,Year-End Close,Software,North America,1.3
2024-12,61800,405,67,4.4,12000,365,27,2289,Year-End Close,Consulting,Europe,1.6
2024-12,44500,312,58,5.0,8800,268,22,2023,Year-End Close,Hardware,Asia Pacific,1.0
